climate,treatment,species_name,individual,wet_weight_g,wet_weight_mg,dry_weight_g,dry_weight_mg,Area_Leaf_total_mm2,Average_Leaf_Area,leaf_area,sla,ldmc
Arid,Partial,Acmispon wrangelianus,NA,0.075,75,0.016,16,272.1345714,136.0672857,136.0672857,16.40557688,335.8384598
Arid,Partial,Avena fatua,NA,0.115,115,0.0306,30.6,586.45875,293.229375,293.229375,14.47875624,273.3057644
Arid,Partial,Bromus diandrus,NA,0.191,191,0.0667,66.7,1181.04808,590.52404,590.52404,17.69230395,355.8732339
Arid,Partial,Bromus hordeaceus,NA,0.04428125,44.28125,0.012060606,12.06060606,330.3442821,165.1721411,165.1721411,25.66472872,322.764151
Arid,Partial,Bromus madritensis ssp. Ruben,NA,0.0302,30.2,0.014866667,14.86666667,312.2615,175.703,175.703,22.20053409,477.6058201
Arid,Partial,Bromus tectorum,NA,0.081818182,81.81818182,0.0205,20.5,407.5302727,203.7651364,203.7651364,21.22520415,276.1908369
Arid,Partial,Calandrinia menziesii,NA,0.0396,39.6,0.006,6,85.353,42.6765,42.6765,21.33825,147.2008474
Arid,Partial,Cerastium glomeratum,NA,0.015175,15.175,0.0023625,2.3625,28.043,16.124,16.124,13.53704382,183.2185885
Arid,Partial,Daucus Pusillus,NA,0.0916,91.6,0.0218,21.8,152.8627,79.4937,79.4937,8.313492325,237.0745282
Arid,Partial,Erodium sp.,NA,0.082925,82.925,0.01725,17.25,326.6994,163.3497,163.3497,21.65885533,208.2467871
Arid,Partial,Festuca myuros,NA,0.1188,118.8,0.006818182,6.818181818,91.6918,45.8459,45.8459,15.85184345,202.020202
Arid,Partial,Gilia tricolor,NA,0.028244444,28.24444444,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Arid,Partial,Hordeum murinum,NA,0.095,95,0.026,26,568.63025,NaN,NaN,21.45820037,285.1650433
Arid,Partial,Hypochaeris glabra,NA,0.369111111,369.1111111,0.051,51,626.325,313.1625,313.1625,14.57081014,142.5856762
Arid,Partial,Lupinus bicolor,NA,0.1162,116.2,0.0204,20.4,179.9031,89.95155,89.95155,9.893931484,179.582883
Arid,Partial,Medicago polymorpha,NA,0.011714286,11.71428571,0.0116,11.6,136.1658333,68.08291667,68.08291667,12.45303162,1000
Arid,Partial,Plagiobothrys sp.,NA,0.017854545,17.85454545,0.033736364,33.73636364,45.99718182,24.47963636,24.47963636,10.92312613,4335.016649
Arid,Partial,Quercus douglasii,NA,0.415,415,0.195625,195.625,1677.4218,838.7109,838.7109,9.90231618,471.1570301
Arid,Partial,Trifolium sp.,NA,0.031,31,0.005555556,5.555555556,143.1357778,NaN,NaN,26.46299074,182.5277192
Arid,Partial,Triteleia ixioides,NA,1.4256,1425.6,0.269,269,2902.58087,1451.290435,1451.290435,11.74641983,198.227921
Arid,Partial,NA,NA,0.068551852,68.55185185,0.011814815,11.81481481,203.3738,104.5686053,104.5686053,15.32396867,221.5681035
Arid,Open,Acmispon wrangelianus,NA,0.05,50,0.011777778,11.77777778,169.47465,85.63381,85.63381,13.26751663,238.8359788
Arid,Open,Astragalus didymocarpus,NA,NaN,NaN,0.016333333,16.33333333,264.3006667,132.1503333,132.1503333,16.06239327,NaN
Arid,Open,Bromus diandrus,NA,0.183636364,183.6363636,0.043,43,1118.6165,559.30825,559.30825,23.71170787,251.3338376
Arid,Open,Bromus hordeaceus,NA,0.074735,74.735,0.01755,17.55,276.48775,358.187,358.187,52.63162222,221.4708849
Arid,Open,Bromus madritensis ssp. Ruben,NA,0.05,50,0.0111,11.1,233.138,137.0615,137.0615,27.23063385,220.6241259
Arid,Open,Calandrinia menziesii,NA,0.0276625,27.6625,0.002125,2.125,32.29925,16.149625,16.149625,16.49427083,147.1322171
Arid,Open,Cerastium glomeratum,NA,0.01125,11.25,0.002025,2.025,35.43925,23.942,23.942,104.9930833,189.5428422
Arid,Open,Daucus Pusillus,NA,0.087,87,0.0228,22.8,NaN,NaN,NaN,NaN,271.9764977
Arid,Open,Erodium sp.,NA,0.04853,48.53,0.0175,17.5,43.3035,21.65175,21.65175,8.268375,465.8085934
Arid,Open,Gilia tricolor,NA,0.01994,19.94,0.0052,5.2,NaN,NaN,NaN,NaN,263.4229838
Arid,Open,Hordeum murinum,NA,0.060714286,60.71428571,0.014714286,14.71428571,392.7473333,214.6585,214.6585,27.81817222,257.8711485
Arid,Open,Hypochaeris glabra,NA,0.24,240,0.0298,29.8,89.127,44.5635,44.5635,3.264296512,124.7388531
Arid,Open,Lupinus bicolor,NA,0.1047,104.7,0.0179,17.9,NaN,NaN,NaN,NaN,168.1259196
Arid,Open,Medicago polymorpha,NA,0.05107,51.07,0.0124,12.4,219.978,109.989,109.989,20.0924046,240.7800853
Arid,Open,Plagiobothrys sp.,NA,0.01159,11.59,0.003777778,3.777777778,19.881,9.9405,9.9405,16.35525,342.2796935
Arid,Open,Quercus douglasii,NA,0.506,506,0.2333,233.3,2260.525556,1130.262778,1130.262778,9.437875286,468.114512
Arid,Open,Trifolium sp.,NA,0.02306,23.06,0.0071,7.1,NaN,NaN,NaN,NaN,300.2507494
Arid,Open,Triteleia ixioides,NA,1.105714286,1105.714286,0.273142857,273.1428571,2026.30375,1229.995375,1229.995375,9.45025118,1573.131091
Arid,Open,NA,NA,0.049543103,49.54310345,0.013984483,13.98448276,163.3538333,86.94375,86.94375,37.37804757,319.7925995
Arid,Total,Acmispon wrangelianus,NA,0.0331,33.1,0.0087,8.7,141.527,70.7635,70.7635,14.51384291,265.3510318
Arid,Total,Avena fatua,NA,0.046,46,0.0122,12.2,445.1525714,222.5762857,222.5762857,37.61926127,333.2142857
Arid,Total,Bromus diandrus,NA,0.286,286,0.0756,75.6,1928.3149,964.15745,964.15745,27.30924443,297.8431941
Arid,Total,Bromus hordeaceus,NA,0.058947368,58.94736842,0.015894737,15.89473684,560.770875,287.8292,287.8292,34.59294483,361.5808461
Arid,Total,Bromus madritensis ssp. Ruben,NA,0.026,26,0.0064,6.4,210.8768,142.4731667,142.4731667,36.83330172,248.3333333
Arid,Total,Bromus tectorum,NA,0.0575,57.5,0.015875,15.875,562.591,305.27275,305.27275,45.29082248,341.2980769
Arid,Total,Calandrinia menziesii,NA,0.011484615,11.48461538,0.001041667,1.2875,58.49611111,32.441,32.441,54.73352361,87.84127947
Arid,Total,Cerastium glomeratum,NA,0.01718,17.18,0.0036,3.6,82.00888889,41.00444444,41.00444444,36.73485185,281.2982177
Arid,Total,Daucus Pusillus,NA,0.0625,62.5,0.01625,16.25,NaN,NaN,NaN,NaN,357.677862
Arid,Total,Erodium sp.,NA,0.142819048,142.8190476,0.031533333,31.53333333,221.996,116.9003182,116.9003182,12.74398639,229.9797339
Arid,Total,Festuca myuros,NA,0.0502,50.2,0.0174,17.4,404.3602,202.1801,202.1801,23.51327833,366.1607143
Arid,Total,Hordeum murinum,NA,0.0606,60.6,0.0188,18.8,558.398,279.199,279.199,25.38172727,407.4468864
Arid,Total,Lupinus bicolor,NA,0.077285714,77.28571429,0.013714286,13.71428571,NaN,NaN,NaN,NaN,179.8670321
Arid,Total,Medicago polymorpha,NA,0.08787,87.87,0.0212,21.2,NaN,NaN,NaN,NaN,242.2031032
Arid,Total,NA,NA,0.027530769,27.53076923,0.011019231,11.01923077,195.1427561,99.32079268,99.32079268,20.34076419,950.0612966
Arid,Total,Plagiobothrys sp.,NA,0.0119,11.9,0.00341,3.41,59.18888889,31.51033333,31.51033333,53.26426852,323.0654762
Arid,Total,Quercus douglasii,NA,0.301,301,0.1436,143.6,1322.8488,661.4244,661.4244,9.562723379,477.0037344
Arid,Total,Trifolium sp.,NA,0.02522,25.22,0.0074,7.4,100.4136,50.2068,50.2068,13.88730207,297.2876871
Arid,Total,Triteleia ixioides,NA,2.404,2404,0.496,496,2529.096667,1264.548333,1264.548333,4.254003042,200.4046675
Arid,Unkown,Hypochaeris glabra,NA,NaN,NaN,NaN,NaN,874.816,437.408,437.408,NaN,NaN
Mesic,Partial,Acmispon sp,NA,0.0317,31.7,0.0107,10.7,156.0891,78.04455,78.04455,13.48714456,352.6846357
Mesic,Partial,Acmispon wrangelianus,NA,0.063222222,63.22222222,0.017222222,17.22222222,111.7171111,55.85855556,55.85855556,6.971445178,280.3623667
Mesic,Partial,Galium aparine,NA,0.0123,12.3,0.00287,2.87,77.6128,38.8064,38.8064,28.56726324,246.4102564
Mesic,Partial,Gayophytum diffusum ssp. Parviflorum,NA,0.0287,28.7,0.0095,9.5,118.299,59.1495,59.1495,13.72086525,376.5312132
Mesic,Partial,Hosackia crassifolia var. crassifolia,NA,0.225,225,0.0724,72.4,1318.0535,659.02675,659.02675,19.70722667,320.3216678
Mesic,Partial,Melica californica,NA,0.0282,28.2,0.0121,12.1,383.593,191.7965,191.7965,24.32562792,463.6858974
Mesic,Partial,Plagiobothrys sp.,NA,0.0261,26.1,0.0062,6.2,82.903,42.79361111,42.79361111,14.68841723,274.1892552
Mesic,Partial,Quercus kelloggii,NA,1.825,1825,0.8146,814.6,NaN,NaN,NaN,NaN,456.4699189
Mesic,Partial,Ranunculus californicus,NA,0.223,223,0.0688,68.8,1288.77975,644.389875,644.389875,17.16244216,318.4797903
Mesic,Partial,Ribes californicum var. hesperium,NA,0.202,202,0.0725,72.5,709.5337778,379.5989167,379.5989167,9.417568924,366.2628498
Mesic,Partial,Symphoricarpos mollis,NA,0.08,80,0.0276,27.6,191.0866,95.5433,95.5433,7.385697148,348.8485681
Mesic,Open,Acmispon wrangelianus,NA,0.065,65,0.016,16,121.6211111,60.81055556,60.81055556,7.833453948,252.3809524
Mesic,Open,Bromus tectorum,NA,0.0365,36.5,0.015,15,415.6121689,NaN,NaN,30.55685565,456.8847891
Mesic,Open,Galium aparine,NA,0.01,10,0.003,3,65.4307,32.71535,32.71535,26.68430667,313.5470085
Mesic,Open,Gayophytum diffusum ssp. Parviflorum,NA,0.046727273,46.72727273,0.007636364,7.636363636,213.2295556,106.6147778,106.6147778,24.88209324,190.9169618
Mesic,Open,Melica californica,NA,0.020461538,20.46153846,0.014307692,14.30769231,338.535375,178.479,178.479,20.69029111,706.164509
Mesic,Open,Plagiobothrys sp.,NA,0.0334,33.4,0.0071,7.1,211.81225,105.906125,105.906125,29.10441287,213.4310288
Mesic,Open,Quercus kelloggii,NA,1.315,1315,0.5879,587.9,7790.900125,3895.450063,3895.450063,12.48302151,449.8840982
Mesic,Open,Ranunculus californicus,NA,0.3475,347.5,0.078875,78.875,1114.805063,1114.805063,1114.805063,13.96134069,227.5155462
Mesic,Open,Ribes californicum var. hesperium,NA,0.189,189,0.0739,73.9,390.7364,195.3682,195.3682,5.593520957,387.9297296
Mesic,Open,Symphoricarpos mollis,NA,0.08,80,0.0293,29.3,119.7593333,59.87966667,59.87966667,4.93036804,365.3599487
Mesic,Open,NA,NA,0.01,10,0.005,5,NaN,NaN,NaN,NaN,500
Mesic,Total,Acmispon sp,NA,0.0502,50.2,0.0163,16.3,77.2867,38.64335,38.64335,5.053454243,335.9449118
Mesic,Total,Acmispon wrangelianus,NA,0.048,48,0.0139,13.9,242.335,121.1675,121.1675,17.83009706,300.2619048
Mesic,Total,Bromus tectorum,NA,0.04895,48.95,0.0149,14.9,NaN,NaN,NaN,NaN,320.2570062
Mesic,Total,Galium aparine,NA,0.0099,9.9,0.00284,2.84,61.4514,30.7257,30.7257,39.19451667,300.2184874
Mesic,Total,Gayophytum diffusum ssp. Parviflorum,NA,0.0145,14.5,0.0051,5.555555556,42.3367,21.16835,21.16835,11.59742923,363.4886053
Mesic,Total,Melica californica,NA,0.012,12,0.006666667,6.666666667,83.9705,64.68902083,64.68902083,15.11789297,600.7936508
Mesic,Total,Plagiobothrys sp.,NA,0.0308,30.8,0.0057,5.7,216.5562,108.2781,108.2781,44.78154905,175.4429689
Mesic,Total,Quercus kelloggii,NA,1.385555556,1385.555556,0.6591,659.1,11489.706,5744.853,5744.853,11.66467614,449.3253773
Mesic,Total,Ranunculus californicus,NA,0.363,363,0.0811,81.1,1348.7377,961.9235,961.9235,17.01905892,219.5329871
Mesic,Total,Ribes californicum var. hesperium,NA,0.178,178,0.0751,75.1,104.6333,52.31665,52.31665,1.475799815,423.0835055
Mesic,Total,Symphoricarpos mollis,NA,0.111,111,0.039,39,567.0151,283.50755,283.50755,14.41506248,357.4664225
Intermediate,Partial,Bromus diandrus,NA,0.111,111,0.0362,36.2,NaN,NaN,NaN,NaN,345.8603326
Intermediate,Partial,Bromus hordeaceus,NA,0.063333333,63.33333333,0.016428571,16.42857143,435.2604,217.6302,217.6302,25.92066929,272.8174603
Intermediate,Partial,Claytonia perfoliata,NA,0.267,267,0.0183,18.3,NaN,NaN,NaN,NaN,69.22958168
Intermediate,Partial,Collinsia childii,NA,0.048714286,48.71428571,0.012714286,12.71428571,120.2411429,60.12057143,60.12057143,9.69815651,376.3575902
Intermediate,Partial,Ericameria nauseosa,NA,0.046111111,46.11111111,0.0138,13.8,44.739,22.3695,22.3695,4.165837607,340.538258
Intermediate,Partial,Erodium sp.,NA,0.09395,93.95,0.02095,20.95,621.9844,310.9922,310.9922,14.84768594,225.508689
Intermediate,Partial,Festuca myuros,NA,0.0175,17.5,0.0057,5.7,49.59175,24.795875,24.795875,12.05055833,366.2698413
Intermediate,Partial,Galium aparine,NA,0.051428571,51.42857143,0.004714286,4.714285714,122.9498571,61.47492857,61.47492857,25.11869643,174.1846856
Intermediate,Partial,Gayophytum diffusum ssp. Parviflorum,NA,0.0255,25.5,0.004333333,4.333333333,231.7067143,115.8533571,115.8533571,11.56595139,195.8333333
Intermediate,Partial,Hordeum murinum,NA,0.07,70,0.020333333,20.33333333,NaN,NaN,NaN,NaN,324.8867182
Intermediate,Partial,Quercus douglasii,NA,0.419,419,0.1975,197.5,2922.867,1461.4335,1461.4335,9.021194444,471.6599236
Intermediate,Partial,Quercus lobata,NA,0.343333333,343.3333333,0.098,98,1358.544167,679.2720833,679.2720833,15.59880612,283.4241536
Intermediate,Partial,Urtica dioica,NA,1.336842105,1336.842105,0.272473684,272.4736842,NaN,NaN,NaN,NaN,203.9067625
Intermediate,Partial,NA,NA,0.148653846,148.6538462,0.056814815,56.81481481,1711.614143,993.0225,993.0225,15.9858485,517.5785507
Intermediate,Open,Bromus diandrus,NA,0.0548,54.8,0.0172,17.2,362.5565,181.27825,181.27825,18.39409906,365.1767399
Intermediate,Open,Bromus hordeaceus,NA,0.064444444,64.44444444,0.0132,13.2,343.0706667,171.5353333,171.5353333,27.40515897,213.9862298
Intermediate,Open,Bromus tectorum,NA,0.0914,91.4,0.0277,27.7,NaN,NaN,NaN,NaN,565.327381
Intermediate,Open,Claytonia perfoliata,NA,0.146666667,146.6666667,0.0146,14.6,NaN,NaN,NaN,NaN,107.2768281
Intermediate,Open,Ericameria nauseosa,NA,0.043333333,43.33333333,0.0147,14.7,119.698875,59.8494375,59.8494375,8.079440711,350
Intermediate,Open,Erodium sp.,NA,0.122,122,0.023,23,237.1843529,118.5921765,118.5921765,12.18905715,298.606126
Intermediate,Open,Festuca myuros,NA,0.01125,11.25,0.0095,9.5,42.1076,21.0538,21.0538,3.949318162,842.2619048
Intermediate,Open,Galium aparine,NA,0.0175,17.5,0.0027,2.7,79.89044444,39.94522222,39.94522222,38.53112963,342.7301587
Intermediate,Open,Gayophytum diffusum ssp. Parviflorum,NA,0.009,9,0.00301,3.01,40.2339,20.11695,20.11695,30.17023643,337.8951001
Intermediate,Open,Hordeum murinum,NA,0.055454545,55.45454545,0.013727273,13.72727273,725.7308,362.8654,362.8654,54.95001189,257.8138528
Intermediate,Open,Medicago polymorpha,NA,0.275,275,0.0809,80.9,1296.6214,617.8056667,617.8056667,15.60165548,290.7780551
Intermediate,Open,Quercus lobata,NA,0.55,550,0.151714286,151.7142857,4694.722167,2347.361083,2347.361083,37.30434066,273.5749716
Intermediate,Open,Ribes californicum var. hesperium,NA,0.17,170,0.0623,62.3,683.7594,341.8797,341.8797,11.18775413,336.7013889
Intermediate,Open,Urtica dioica,NA,1.269,1269,0.2272,227.2,NaN,NaN,NaN,NaN,180.1094569
Intermediate,Open,NA,NA,0.165275,165.275,0.047634146,47.63414634,553.8596842,276.9298421,276.9298421,9.998363396,256.6872179
Intermediate,Total,Achillea millefolium,NA,0.496666667,496.6666667,0.0982,98.2,1337.687,668.8435,668.8435,14.15891103,240.0189394
Intermediate,Total,Bromus diandrus,NA,0.062,62,0.0256,25.6,573.86125,286.930625,286.930625,20.1431691,472.4761905
Intermediate,Total,Bromus hordeaceus,NA,0.052,52,0.0165,16.5,388.5984286,198.0491,198.0491,22.39022452,343.1428571
Intermediate,Total,Bromus tectorum,NA,0.0585,58.5,0.0201,20.1,NaN,NaN,NaN,NaN,349.7493449
Intermediate,Total,Ericameria nauseosa,NA,0.019,19,0.00438,4.38,47.6198,23.8099,23.8099,11.04274929,233.0084882
Intermediate,Total,Erodium sp.,NA,0.1042,104.2,0.0226875,22.6875,314.2571875,157.1285938,157.1285938,11.92957354,208.2095682
Intermediate,Total,Festuca myuros,NA,0.022,22,0.0073,7.3,49.29033333,24.64516667,24.64516667,13.00561111,429.702381
Intermediate,Total,Galium aparine,NA,0.0082,8.2,0.00213,2.13,16.784,8.392,8.392,23.97714286,311.5646998
Intermediate,Total,Gayophytum diffusum ssp. Parviflorum,NA,0.034375,34.375,0.0076,7.6,81.1155,40.55775,40.55775,10.03784039,236.6666667
Intermediate,Total,Hordeum murinum,NA,0.0709,70.9,0.0278,27.8,164.5,82.04025,82.04025,15.86563269,472.6880342
Intermediate,Total,medicago polymorpha,NA,0.297,297,0.0672,67.2,715.4993,357.74965,357.74965,11.24682086,233.0430012
Intermediate,Total,Quercus lobata,NA,0.782,782,0.2316,231.6,3247.8479,1623.92395,1623.92395,15.78127206,293.9142917
Intermediate,Total,NA,NA,0.146666667,146.6666667,0.049965517,49.96551724,698.9329412,349.4664706,349.4664706,12.79876585,341.5983962
NA,NA,Festuca sp.,NA,0.047933333,47.93333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NA,NA,NA,NA,0.0168875,16.8875,0.005857143,5.857142857,NaN,NaN,NaN,NaN,321.5623782